,time,status
330,2023-11-27 08:00:45.284000000,walk
584,2023-11-27 08:00:48.811000064,walk
644,2023-11-27 08:00:49.644000000,walk
695,2023-11-27 08:00:50.352000000,walk
745,2023-11-27 08:00:51.046999808,walk
793,2023-11-27 08:00:51.713999872,walk
839,2023-11-27 08:00:52.352000000,walk
884,2023-11-27 08:00:52.976999936,walk
928,2023-11-27 08:00:53.589999872,walk
974,2023-11-27 08:00:54.228000000,walk
1016,2023-11-27 08:00:54.812000000,walk
1061,2023-11-27 08:00:55.436999936,walk
1102,2023-11-27 08:00:56.007000064,walk
1147,2023-11-27 08:00:56.632000000,walk
1189,2023-11-27 08:00:57.214999808,walk
1232,2023-11-27 08:00:57.812000000,walk
1274,2023-11-27 08:00:58.394000128,walk
1323,2023-11-27 08:00:59.073999872,walk
1365,2023-11-27 08:00:59.657999872,walk
1409,2023-11-27 08:01:00.269999872,walk
1456,2023-11-27 08:01:00.921999872,walk
1497,2023-11-27 08:01:01.492000000,walk
1537,2023-11-27 08:01:02.046999808,walk
1581,2023-11-27 08:01:02.657999872,walk
1622,2023-11-27 08:01:03.226000128,walk
1669,2023-11-27 08:01:03.876000000,walk
1711,2023-11-27 08:01:04.461999872,walk
2111,2023-11-27 08:01:10.039000064,walk
2159,2023-11-27 08:01:10.711000064,walk
2202,2023-11-27 08:01:11.308000000,walk
2244,2023-11-27 08:01:11.892000000,walk
2679,2023-11-27 08:01:17.931000064,walk
2722,2023-11-27 08:01:18.530999808,walk
2759,2023-11-27 08:01:19.046000128,walk
2795,2023-11-27 08:01:19.546000128,walk
3239,2023-11-27 08:01:25.711000064,walk
3280,2023-11-27 08:01:26.280000000,walk
3329,2023-11-27 08:01:26.960999936,walk
3785,2023-11-27 08:01:33.293999872,walk
3835,2023-11-27 08:01:33.989000192,walk
3876,2023-11-27 08:01:34.558000128,walk
3923,2023-11-27 08:01:35.211000064,walk
3971,2023-11-27 08:01:35.878000128,walk
4006,2023-11-27 08:01:36.364000000,walk
4051,2023-11-27 08:01:36.989000192,walk
4084,2023-11-27 08:01:37.447000064,walk
4127,2023-11-27 08:01:38.046000128,walk
4161,2023-11-27 08:01:38.517999872,walk
4200,2023-11-27 08:01:39.060000000,walk
4237,2023-11-27 08:01:39.572999936,walk
4279,2023-11-27 08:01:40.154000128,walk
4315,2023-11-27 08:01:40.654000128,walk
4358,2023-11-27 08:01:41.252000000,walk
4392,2023-11-27 08:01:41.724000000,walk
4435,2023-11-27 08:01:42.322000128,walk
4471,2023-11-27 08:01:42.823000064,walk
4513,2023-11-27 08:01:43.405999872,walk
4550,2023-11-27 08:01:43.920999936,walk
4591,2023-11-27 08:01:44.490000128,walk
4631,2023-11-27 08:01:45.042000128,walk
4672,2023-11-27 08:01:45.612000000,walk
4712,2023-11-27 08:01:46.168999936,walk
4751,2023-11-27 08:01:46.710000128,walk
4792,2023-11-27 08:01:47.276999936,walk
4831,2023-11-27 08:01:47.820000000,walk
4869,2023-11-27 08:01:48.348999936,walk
4914,2023-11-27 08:01:48.973999872,walk
4950,2023-11-27 08:01:49.474999808,walk
4996,2023-11-27 08:01:50.112999936,walk
5034,2023-11-27 08:01:50.640999936,walk
5082,2023-11-27 08:01:51.308000000,walk
5119,2023-11-27 08:01:51.823000064,walk
5160,2023-11-27 08:01:52.391000064,walk
5202,2023-11-27 08:01:52.974999808,walk
5248,2023-11-27 08:01:53.614000128,walk
5290,2023-11-27 08:01:54.196999936,walk
5335,2023-11-27 08:01:54.822000128,walk
5380,2023-11-27 08:01:55.447000064,walk
5500,2023-11-27 08:01:57.114000128,walk
5550,2023-11-27 08:01:57.808000000,walk
5592,2023-11-27 08:01:58.391000064,walk
5635,2023-11-27 08:01:58.987000064,walk
5675,2023-11-27 08:01:59.542000128,walk
5721,2023-11-27 08:02:00.183000064,walk
5760,2023-11-27 08:02:00.724000000,walk
5802,2023-11-27 08:02:01.308000000,walk
5843,2023-11-27 08:02:01.877000192,walk
5884,2023-11-27 08:02:02.444999936,walk
5922,2023-11-27 08:02:02.972999936,walk
5961,2023-11-27 08:02:03.515000064,walk
6000,2023-11-27 08:02:04.056000000,walk
6039,2023-11-27 08:02:04.598000128,walk
6077,2023-11-27 08:02:05.124999936,walk
6116,2023-11-27 08:02:05.667000064,walk
6153,2023-11-27 08:02:06.180999936,walk
6194,2023-11-27 08:02:06.750999808,walk
6230,2023-11-27 08:02:07.250999808,walk
6268,2023-11-27 08:02:07.778000128,walk
6305,2023-11-27 08:02:08.290999808,walk
6343,2023-11-27 08:02:08.819000064,walk
6379,2023-11-27 08:02:09.319000064,walk
6418,2023-11-27 08:02:09.860999936,walk
6454,2023-11-27 08:02:10.360999936,walk
6492,2023-11-27 08:02:10.888999936,walk
6529,2023-11-27 08:02:11.403000064,walk
6572,2023-11-27 08:02:12.000000000,walk
6606,2023-11-27 08:02:12.473999872,walk
6644,2023-11-27 08:02:13.002000128,walk
6681,2023-11-27 08:02:13.515000064,walk
6723,2023-11-27 08:02:14.098000128,walk
6760,2023-11-27 08:02:14.612000000,walk
6802,2023-11-27 08:02:15.196000000,walk
6838,2023-11-27 08:02:15.696000000,walk
6883,2023-11-27 08:02:16.321000192,walk
6921,2023-11-27 08:02:16.848999936,walk
6968,2023-11-27 08:02:17.499000064,walk
7008,2023-11-27 08:02:18.055000064,walk
7044,2023-11-27 08:02:18.555000064,walk
7525,2023-11-27 08:02:25.234999808,walk
7567,2023-11-27 08:02:25.819000064,walk
7602,2023-11-27 08:02:26.304000000,walk
8035,2023-11-27 08:02:32.318000128,walk
8072,2023-11-27 08:02:32.832000000,walk
8117,2023-11-27 08:02:33.456999936,walk
8150,2023-11-27 08:02:33.915000064,walk
8578,2023-11-27 08:02:39.859000064,walk
8621,2023-11-27 08:02:40.456999936,walk
8656,2023-11-27 08:02:40.943000064,walk
8687,2023-11-27 08:02:41.374000128,walk
9075,2023-11-27 08:02:46.798000128,walk
9119,2023-11-27 08:02:47.401999872,walk
9152,2023-11-27 08:02:47.861999872,walk
9194,2023-11-27 08:02:48.448999936,walk
9226,2023-11-27 08:02:48.894000128,walk
9266,2023-11-27 08:02:49.450000128,walk
9299,2023-11-27 08:02:49.904999936,walk
9337,2023-11-27 08:02:50.420000000,walk
9373,2023-11-27 08:02:50.920999936,walk
9413,2023-11-27 08:02:51.482000128,walk
9446,2023-11-27 08:02:51.940999936,walk
9484,2023-11-27 08:02:52.468000000,walk
9520,2023-11-27 08:02:52.968000000,walk
9558,2023-11-27 08:02:53.496000000,walk
9594,2023-11-27 08:02:53.996999936,walk
9632,2023-11-27 08:02:54.524000000,walk
9669,2023-11-27 08:02:55.038000128,walk
9707,2023-11-27 08:02:55.565999872,walk
9743,2023-11-27 08:02:56.065999872,walk
9781,2023-11-27 08:02:56.595000064,walk
9817,2023-11-27 08:02:57.095000064,walk
9857,2023-11-27 08:02:57.650000128,walk
9891,2023-11-27 08:02:58.122999808,walk
9930,2023-11-27 08:02:58.664000000,walk
9966,2023-11-27 08:02:59.164000000,walk
10004,2023-11-27 08:02:59.691000064,walk
10043,2023-11-27 08:03:00.232000000,walk
10087,2023-11-27 08:03:00.842999808,walk
10126,2023-11-27 08:03:01.384999936,walk
10176,2023-11-27 08:03:02.079000064,walk
10217,2023-11-27 08:03:02.648000000,walk
10303,2023-11-27 08:03:03.842999808,walk
10367,2023-11-27 08:03:04.731000064,walk
10680,2023-11-27 08:03:09.128000000,walk
10731,2023-11-27 08:03:09.829999872,walk
10764,2023-11-27 08:03:10.283000064,walk
