time,angularVelocity_x,angularVelocity_y,angularVelocity_z
1698907573506,-0.001139687,-0.003147421,0.001785476
1698907573518,-0.01219868,0.002881756,-0.02076702
1698907573533,-0.00969171,0.004374743,-0.02777785
1698907573552,-0.004212045,0.01054997,-0.03451497
1698907573571,0.003026539,0.01660288,-0.03693321
1698907573592,0.005279468,0.01947741,-0.03115021
1698907573609,0.004424974,0.02320297,-0.03147742
1698907573626,0.005514847,0.02760489,-0.01915688
1698907573643,0.004810164,0.03530358,-0.002904034
1698907573659,0.001308192,0.04941397,0.0004188175
1698907573674,0.002234365,0.06570613,0.009408374
1698907573689,-0.001629315,0.07881618,0.0125367
1698907573703,-0.009633126,0.08699743,0.01236281
1698907573719,-0.01913608,0.08425212,0.01947861
1698907573734,-0.03048269,0.07853013,0.04097621
1698907573749,-0.04500693,0.06543221,0.06552429
1698907573764,-0.05478444,0.04374219,0.09939602
1698907573779,-0.0573389,0.02293551,0.121476
1698907573794,-0.05705206,0.001365723,0.1295992
1698907573809,-0.04734388,-0.01769176,0.1175309
1698907573823,-0.03648841,-0.04372712,0.09766011
1698907573838,-0.0272599,-0.07106696,0.07464174
1698907573852,-0.02342792,-0.09689511,0.06678447
1698907573866,-0.02836674,-0.1191334,0.05371875
1698907573880,-0.02933384,-0.1384703,0.04255757
1698907573894,-0.03139209,-0.157059,0.02865045
1698907573908,-0.0306975,-0.1699947,0.01611712
1698907573922,-0.02717531,-0.1882689,0.01770595
1698907573937,-0.02769901,-0.1935116,0.03155091
1698907573951,-0.03323571,-0.1928085,0.06304375
1698907573965,-0.03929604,-0.1880295,0.1000904
1698907573979,-0.03513618,-0.1833593,0.1401701
1698907573993,-0.02349954,-0.1815697,0.1600697
1698907574008,-0.02249953,-0.1780348,0.1686328
1698907574021,-0.02828983,-0.1669152,0.1709562
1698907574035,-0.03007462,-0.1534816,0.1714784
1698907574050,-0.03868879,-0.1422508,0.1715876
1698907574062,-0.037495,-0.1322581,0.164109
1698907574078,-0.03797447,-0.1216,0.1456667
1698907574091,-0.03141301,-0.1104792,0.1310954
1698907574103,-0.02068476,-0.1062335,0.1146933
1698907574117,0.004903623,-0.1007082,0.1015922
1698907574131,0.02187389,-0.09332576,0.08735865
1698907574145,0.04905851,-0.08417027,0.06668767
1698907574159,0.06094691,-0.0753119,0.05391119
1698907574174,0.0544184,-0.06636351,0.05474319
1698907574188,0.02896163,-0.05428762,0.05429984
1698907574201,0.006354953,-0.04428236,0.05382606
1698907574216,-0.01350654,-0.02863596,0.04523653
1698907574227,-0.0326748,-0.01437225,0.02670498
1698907574242,-0.03374004,-0.01166063,0.01610103
1698907574256,-0.01438189,-0.0161632,0.02779942
1698907574270,-0.01141189,-0.02277324,0.06862631
1698907574284,-0.03092485,-0.0209678,0.1034074
1698907574297,-0.05544741,-0.01023146,0.124889
1698907574310,-0.06143937,-0.003921043,0.1180751
1698907574323,-0.04546293,-0.006150721,0.0990456
1698907574337,-0.005292651,-0.02768012,0.07664046
1698907574351,0.03623653,-0.05415284,0.06481285
1698907574366,0.05184844,-0.0683462,0.06374758
1698907574382,0.04253879,-0.06431743,0.06712908
1698907574394,0.04360449,-0.05522138,0.06391554
