time,rotate_x,rotate_y,rotate_z
1698907573506,-0.0004413053,-0.9595768,-0.01706508
1698907573518,-0.001895868,-0.9595795,-0.01718356
1698907573532,-0.002178314,-0.9595632,-0.01762105
1698907573552,-0.002335197,-0.9595997,-0.01795516
1698907573571,-0.002284105,-0.9597052,-0.01833799
1698907573592,-0.002464336,-0.9597669,-0.01831567
1698907573609,-0.002606642,-0.959834,-0.01845735
1698907573625,-0.002509065,-0.959911,-0.01835652
1698907573643,-0.002219962,-0.9600599,-0.01817984
1698907573659,-0.002136692,-0.960233,-0.01796656
1698907573673,-0.001934375,-0.960452,-0.01785878
1698907573689,-0.001969702,-0.9606584,-0.01776686
1698907573703,-0.00205288,-0.9608529,-0.01752166
1698907573719,-0.002179715,-0.9610039,-0.01705574
1698907573734,-0.001998526,-0.9611162,-0.01633532
1698907573749,-0.001770307,-0.9611947,-0.01526509
1698907573764,-0.001419253,-0.9611807,-0.0140414
1698907573779,-0.0009373119,-0.9611845,-0.01295409
1698907573794,-0.0005202484,-0.9610977,-0.01201374
1698907573809,-0.0002751187,-0.9610263,-0.01158945
1698907573823,-9.397836e-05,-0.9608252,-0.01121489
1698907573838,-5.855225e-06,-0.960587,-0.01099486
1698907573852,0.0001402362,-0.9603065,-0.01053763
1698907573866,0.0001339917,-0.9600258,-0.01004698
1698907573880,-6.959541e-05,-0.9596802,-0.009925006
1698907573894,-0.0002629557,-0.9593487,-0.009696067
1698907573908,-0.0004665437,-0.9589486,-0.009571135
1698907573922,-0.0001466873,-0.9585265,-0.009386932
1698907573936,-0.0002166599,-0.9581445,-0.008816819
1698907573950,0.0001868696,-0.957773,-0.007960674
1698907573964,0.0006821153,-0.9574678,-0.006782009
1698907573979,0.001463946,-0.9571002,-0.005668004
1698907573993,0.00218739,-0.9567423,-0.004678907
1698907574008,0.002900481,-0.9564175,-0.003518698
1698907574021,0.003406626,-0.9561195,-0.002509771
1698907574035,0.003869748,-0.9558363,-0.001300969
1698907574050,0.00437939,-0.955585,-0.0002356014
1698907574062,0.004812539,-0.955339,0.0007065523
1698907574077,0.005022372,-0.9551237,0.001379564
1698907574090,0.005313058,-0.9549461,0.002067833
1698907574103,0.005880008,-0.9547349,0.00241055
1698907574117,0.006504096,-0.9545602,0.002741127
1698907574130,0.006972684,-0.9543642,0.002737733
1698907574145,0.007610501,-0.9542432,0.002441287
1698907574159,0.008158911,-0.9541189,0.002427968
1698907574173,0.008492669,-0.9540128,0.002625785
1698907574187,0.008549108,-0.9539524,0.003079152
1698907574201,0.008610981,-0.9539059,0.003576582
1698907574215,0.008505883,-0.9538786,0.003754479
1698907574227,0.007984897,-0.9539337,0.004006345
1698907574242,0.007967768,-0.9538975,0.004206824
1698907574256,0.008469768,-0.9538521,0.004478016
1698907574270,0.008972355,-0.953732,0.005483938
1698907574283,0.009116974,-0.9537263,0.006779118
1698907574297,0.009212247,-0.9537463,0.007946068
1698907574310,0.00928494,-0.9537423,0.008704415
1698907574323,0.009706031,-0.9536742,0.008873427
1698907574337,0.01015438,-0.9534859,0.00867849
1698907574351,0.01095714,-0.9532425,0.008559193
1698907574366,0.01163155,-0.953058,0.00864713
1698907574381,0.01192642,-0.9529858,0.009113151
1698907574394,0.01251744,-0.9529068,0.009179625
1698907574408,0.01328459,-0.9527272,0.009078668
1698907574422,0.01429536,-0.9525369,0.009403724
1698907574436,0.0157365,-0.9523067,0.009828149
1698907574451,0.01700067,-0.9520676,0.01099964
1698907574463,0.0180012,-0.9519004,0.0120467
1698907574477,0.01864168,-0.9517705,0.01282646
1698907574492,0.01896159,-0.9516194,0.01315746
1698907574506,0.01958441,-0.9514464,0.01337896
1698907574520,0.01991456,-0.9512755,0.0142036
1698907574531,0.02036219,-0.9510935,0.01479755
1698907574544,0.02028955,-0.9509482,0.01515139
1698907574558,0.02040086,-0.9508318,0.01496679
1698907574572,0.02050714,-0.9506901,0.01495937
1698907574587,0.02031235,-0.9505404,0.01535309
1698907574600,0.02009368,-0.9504915,0.01619796
1698907574614,0.02006547,-0.9504242,0.01676948
1698907574628,0.0200041,-0.9503566,0.01665919
1698907574640,0.01993767,-0.9502919,0.01646896
1698907574655,0.01993482,-0.9502314,0.01630899
1698907574670,0.02004446,-0.950162,0.0160747
1698907574683,0.02025009,-0.9501443,0.0161389
1698907574696,0.02069836,-0.9500555,0.01632403
1698907574710,0.02099755,-0.9499168,0.01648066
1698907574724,0.02135366,-0.9498551,0.01633078
1698907574737,0.02164953,-0.9498244,0.01650306
1698907574753,0.02163032,-0.9498012,0.01668502
1698907574766,0.02155384,-0.9497563,0.01716389
1698907574781,0.02176901,-0.9497226,0.01791592
1698907574795,0.02213667,-0.9496403,0.01867832
1698907574807,0.02265937,-0.9495078,0.01948981
1698907574820,0.02309744,-0.9493425,0.02034359
1698907574834,0.02356381,-0.9491946,0.02136592
1698907574849,0.02382353,-0.9490165,0.02231726
1698907574864,0.0238713,-0.9488226,0.02331679
1698907574876,0.0237996,-0.948621,0.02388395
1698907574891,0.02326833,-0.9485099,0.02396741
1698907574904,0.02337201,-0.9484979,0.02347999
1698907574918,0.02293469,-0.9485044,0.02374178
