time,rotate_x,rotate_y,rotate_z
1698145276338,0.1154632,-0.01080201,0.005530694
1698145276349,0.115082,-0.01153189,0.01057427
1698145276364,0.1153221,-0.01089229,0.01002097
1698145276385,0.1177553,-0.009365518,0.01040924
1698145276404,0.1198571,-0.007902253,0.01102464
1698145276423,0.1203849,-0.006685454,0.01223705
1698145276440,0.1213289,-0.005727213,0.01318305
1698145276457,0.1217536,-0.004730191,0.01356609
1698145276473,0.1227916,-0.003569216,0.01332698
1698145276490,0.1241617,-0.002831262,0.01279473
1698145276506,0.1249038,-0.002123125,0.01280772
1698145276521,0.1248628,-0.001515016,0.0127762
1698145276537,0.1249852,-0.0007679872,0.0126393
1698145276552,0.1254456,-2.441555e-05,0.01254969
1698145276567,0.1264437,0.0007838197,0.01228467
1698145276581,0.1276874,0.00139688,0.01217553
1698145276596,0.1287368,0.002031028,0.0118542
1698145276610,0.129272,0.00250861,0.01173931
1698145276625,0.1296334,0.002875965,0.01168041
1698145276638,0.1297929,0.002943918,0.01174195
1698145276653,0.1301467,0.002640553,0.01200228
1698145276668,0.1301908,0.002501227,0.01229783
1698145276681,0.1302114,0.002161182,0.01230139
1698145276694,0.1302225,0.00172456,0.0125907
1698145276709,0.1306862,0.001262955,0.0131979
1698145276723,0.1312546,0.0005515963,0.01349609
1698145276737,0.1319062,-0.0003094301,0.014135
1698145276752,0.1324628,-0.001325674,0.01466509
1698145276765,0.1331416,-0.002380706,0.01497436
1698145276779,0.1337709,-0.003595468,0.01536468
1698145276794,0.1342229,-0.004644267,0.01574333
1698145276808,0.1339832,-0.005853638,0.01573796
1698145276823,0.1334821,-0.007038064,0.01602997
1698145276838,0.133368,-0.008074217,0.01607831
1698145276853,0.1337019,-0.008911334,0.01608206
1698145276868,0.1342243,-0.009583049,0.01615712
1698145276881,0.1345331,-0.0103228,0.01613043
1698145276895,0.1348187,-0.01081823,0.01617425
1698145276908,0.1348599,-0.01114607,0.01608356
1698145276919,0.1347727,-0.01151433,0.016071
1698145276933,0.1348559,-0.01151489,0.01599967
1698145276946,0.1351896,-0.0116707,0.01584959
1698145276960,0.1357979,-0.01165145,0.01573649
1698145276974,0.1365436,-0.01156101,0.01574644
1698145276988,0.1374123,-0.01145471,0.01557154
1698145277001,0.137514,-0.01117619,0.01546131
1698145277015,0.1377135,-0.01107726,0.01553845
1698145277029,0.1376411,-0.01089997,0.01564481
1698145277043,0.1375318,-0.01072226,0.01560684
1698145277058,0.1376365,-0.01057142,0.01571881
1698145277071,0.1380107,-0.0105191,0.01573668
1698145277085,0.1384753,-0.01030302,0.0159261
1698145277098,0.1394311,-0.01021083,0.01585231
1698145277111,0.1399741,-0.01022655,0.01578521
1698145277124,0.1406699,-0.0102607,0.01609687
1698145277139,0.1411742,-0.01031468,0.01643525
1698145277153,0.1413243,-0.01056677,0.01707966
1698145277167,0.1411748,-0.01080478,0.0172626
1698145277181,0.1413136,-0.01103292,0.01727922
