time,rotate_x,rotate_y,rotate_z
1698908436366,-0.0650076,0.8835202,0.06948982
1698908436376,-0.06774189,0.8823913,0.07548033
1698908436390,-0.06795627,0.8823588,0.07597429
1698908436411,-0.06839933,0.8821182,0.07639085
1698908436430,-0.0682847,0.8819212,0.07669786
1698908436450,-0.06854835,0.881884,0.07649535
1698908436467,-0.06861965,0.8816628,0.07702428
1698908436483,-0.06885615,0.8815652,0.07687442
1698908436501,-0.06893938,0.8814812,0.07673912
1698908436516,-0.069022,0.8813829,0.07664792
1698908436532,-0.06888505,0.8813632,0.07632022
1698908436548,-0.06890018,0.8813636,0.0759694
1698908436563,-0.06869929,0.8813118,0.07583087
1698908436578,-0.06884786,0.8812634,0.07549799
1698908436592,-0.06891481,0.8812696,0.07566468
1698908436609,-0.0690148,0.881247,0.07571
1698908436623,-0.06904691,0.8812596,0.0758839
1698908436638,-0.06894074,0.8813224,0.07574899
1698908436652,-0.06883941,0.8813857,0.07555437
1698908436666,-0.06862153,0.8815124,0.07521115
1698908436681,-0.0683759,0.8815041,0.07532229
1698908436695,-0.06844275,0.8814898,0.07524743
1698908436709,-0.06848729,0.8814875,0.07543744
1698908436721,-0.06849742,0.8814828,0.07555237
1698908436734,-0.06842002,0.8815098,0.07562308
1698908436748,-0.06832875,0.8814887,0.07568979
1698908436763,-0.06828987,0.8814455,0.07579909
1698908436777,-0.06833123,0.8813723,0.07580658
1698908436792,-0.06834908,0.8813195,0.07593019
1698908436805,-0.068471,0.8812482,0.07596923
1698908436820,-0.06848346,0.881174,0.07582133
1698908436836,-0.06829675,0.8811094,0.07568121
1698908436849,-0.06827717,0.8809482,0.07581747
1698908436863,-0.06824397,0.8808135,0.07594214
1698908436878,-0.06826509,0.8807625,0.07633375
1698908436893,-0.06843956,0.88071,0.07650036
1698908436907,-0.06841782,0.8806362,0.07648119
1698908436923,-0.06830002,0.8805814,0.07665949
1698908436935,-0.06837062,0.880545,0.0766113
1698908436946,-0.06839792,0.8805299,0.07659601
1698908436957,-0.06839499,0.8805425,0.07660227
1698908436971,-0.06841689,0.8805503,0.07645312
1698908436986,-0.068344,0.8805647,0.07653467
1698908436999,-0.06828173,0.8805982,0.07664458
1698908437013,-0.06820627,0.8806056,0.07694039
1698908437028,-0.06842698,0.8806169,0.07706276
1698908437042,-0.06881737,0.8806394,0.07717149
1698908437056,-0.06859536,0.8806556,0.07726622
1698908437068,-0.06843815,0.8806829,0.07723276
1698908437082,-0.06829986,0.8806853,0.07729673
1698908437097,-0.0680804,0.8806787,0.07732961
1698908437111,-0.06791621,0.8806738,0.07735395
1698908437125,-0.06788824,0.8807073,0.0773754
1698908437139,-0.0679445,0.8806849,0.07766569
1698908437153,-0.06805316,0.8806387,0.07797936
1698908437166,-0.06798022,0.8805791,0.07826337
1698908437179,-0.06815337,0.8806481,0.07817756
1698908437193,-0.06805341,0.8806136,0.07818058
1698908437207,-0.06808136,0.880653,0.07808498
1698908437221,-0.06792113,0.8806758,0.07791762
1698908437235,-0.06776241,0.8807157,0.0777251
1698908437248,-0.06767002,0.8807702,0.07768159
1698908437261,-0.06730847,0.8808581,0.0776865
1698908437275,-0.06725835,0.8809735,0.0777991
1698908437290,-0.06704744,0.881099,0.07768609
1698908437305,-0.06672844,0.8813299,0.07727394
1698908437318,-0.06632914,0.8814136,0.07730547
1698908437332,-0.06606261,0.8816025,0.07720637
1698908437345,-0.06585632,0.8817186,0.07717509
1698908437359,-0.06560913,0.8818707,0.07700109
1698908437373,-0.06531797,0.881988,0.07703671
1698908437386,-0.06530266,0.8820812,0.07727666
1698908437400,-0.0653811,0.8821878,0.07706515
1698908437414,-0.0651853,0.8822328,0.07700084
1698908437428,-0.06507543,0.8822648,0.07713194
1698908437442,-0.06502073,0.8822566,0.07728545
1698908437455,-0.06480656,0.8822043,0.07729989
1698908437470,-0.06473526,0.8821422,0.07731956
1698908437483,-0.06470254,0.8820857,0.07721248
1698908437498,-0.06468611,0.8820668,0.07714164
1698908437511,-0.06466411,0.8820711,0.07695044
1698908437525,-0.06441189,0.8820382,0.07665806
1698908437540,-0.06429992,0.8820603,0.0767014
1698908437553,-0.06402054,0.8820669,0.07639515
1698908437567,-0.06384603,0.8821883,0.07618921
1698908437580,-0.06332453,0.8822576,0.0759354
1698908437596,-0.06317996,0.8823079,0.07567111
1698908437609,-0.06305467,0.8823704,0.07533182
1698908437624,-0.06281082,0.8824192,0.07515553
1698908437638,-0.06274621,0.8824264,0.07488568
1698908437651,-0.06266734,0.8824196,0.07466094
