time,velocity_x,velocity_y,velocity_z
1698908436366,-0.005530019,0.004834899,0.0002669754
1698908436376,-0.004238601,0.00743145,-0.001756689
1698908436391,-0.003655084,0.007004342,-0.002081805
1698908436411,-0.003132673,0.006701604,-0.002535768
1698908436430,-0.002319709,0.006010946,-0.003104376
1698908436450,-0.001442385,0.004965904,-0.00354926
1698908436467,-0.0007050342,0.003951028,-0.003890537
1698908436483,0.0002223692,0.003293734,-0.004112728
1698908436501,0.00136266,0.002841626,-0.004048026
1698908436517,0.002171878,0.001855449,-0.004060867
1698908436532,0.002944757,0.001169898,-0.003975899
1698908436548,0.003429998,0.0001584662,-0.003773903
1698908436564,0.00391934,-0.0003677764,-0.003755442
1698908436578,0.00415644,-0.000619551,-0.003188602
1698908436592,0.004473436,-0.0003688361,-0.003139325
1698908436609,0.004651549,0.0004450532,-0.003202463
1698908436623,0.00494466,0.0004455509,-0.003179351
1698908436638,0.005444568,0.0001430318,-0.002985853
1698908436652,0.005807834,-0.0007877696,-0.002546608
1698908436666,0.006312554,-0.001508466,-0.001944404
1698908436681,0.006705562,-0.001340147,-0.001801454
1698908436695,0.007615213,-0.0006447618,-0.001436755
1698908436709,0.008087897,-0.000123648,-0.00121133
1698908436721,0.008438231,0.0003452996,-0.0009860391
1698908436734,0.008758187,0.0006064525,-0.0005902883
1698908436749,0.009128304,0.0004574383,-0.0002860022
1698908436763,0.009795198,0.0002014097,0.0001506109
1698908436777,0.01040174,0.000399943,0.0001029465
1698908436792,0.01079487,0.001062236,0.0004146374
1698908436805,0.01121543,0.001285306,0.0008044825
1698908436820,0.01154902,0.001408204,0.00130866
1698908436836,0.01180671,0.001476579,0.001961056
1698908436849,0.0119732,0.001843103,0.002491397
1698908436863,0.01194336,0.002315327,0.002522062
1698908436878,0.01168323,0.002719388,0.002529272
1698908436893,0.01126629,0.00311214,0.002270265
1698908436907,0.01089476,0.002469667,0.002273437
1698908436923,0.01057307,0.001739812,0.002198365
1698908436935,0.01018894,0.001334168,0.001964994
