"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.612337180E-1,-3.723430634E-2,5.090880394E-2,-2.082788944E-2
1.802486140E-1,4.771232605E-3,3.753715754E-2,1.504182816E-3
1.992635100E-1,-8.483886719E-3,-1.479879022E-3,6.029844284E-3
2.182784570E-1,-6.938076019E-2,-4.634683579E-2,1.698386669E-2
2.372933530E-1,-6.820106506E-2,-3.254854679E-2,-1.593852043E-2
2.563082490E-1,-1.666164398E-2,-3.392167389E-2,-1.560294628E-2
2.753231970E-1,-1.776599884E-2,-1.303240657E-2,-1.490175724E-2
2.943380930E-1,-2.754592896E-2,3.080098331E-2,-3.578329086E-2
3.133529890E-1,-2.921009064E-2,-2.584232390E-2,-1.566529274E-2
3.323679370E-1,-3.188514709E-2,-5.456075072E-2,-3.420412540E-2
3.513828320E-1,-2.659416199E-2,-1.862047613E-2,-6.132924557E-2
3.703977800E-1,-2.427387238E-2,-7.515802979E-3,-5.084729195E-2
3.894126760E-1,-2.657890320E-3,-2.576537430E-2,-3.439950943E-2
4.084275720E-1,-1.310157776E-2,-2.976132929E-2,-1.775383949E-2
4.274424680E-1,-4.778766632E-2,-8.205458522E-3,-1.853334904E-2
4.464574160E-1,-4.700183868E-2,2.389791608E-2,-1.011943817E-2
4.654723120E-1,5.744934082E-3,3.495381773E-2,-7.693886757E-3
4.844872600E-1,1.424980164E-2,8.837625384E-3,-3.093600273E-2
5.035021550E-1,-3.865051270E-2,-2.602611482E-2,-1.299730539E-1
5.225170510E-1,-1.606359482E-1,2.045637369E-2,2.776236534E-1
5.415319990E-1,-1.340684891E-1,9.203162789E-2,2.600204945E-2
5.605468950E-1,3.565216064E-2,5.352079868E-2,-1.204086542E-1
5.795617910E-1,1.241111755E-2,2.007187009E-1,-7.925009727E-2
5.985767390E-1,-5.202007294E-2,-4.276773334E-2,-1.284009218E-1
6.175916350E-1,-5.195808411E-2,1.326930523E-2,-7.059395313E-2
6.366065300E-1,-2.694416046E-2,-2.750974894E-2,-1.560902596E-2
6.556214780E-1,-1.610565186E-2,-4.496577382E-2,1.319730282E-2
6.746363740E-1,-4.532337189E-2,-2.237400413E-2,-2.156257629E-3
6.936512700E-1,-8.094978333E-2,-3.700383008E-2,1.309037209E-2
7.126662180E-1,-7.715225220E-2,-5.256052315E-2,1.166152954E-2
7.316811140E-1,6.554603577E-3,-1.289322972E-2,-9.314537048E-3
7.506960100E-1,2.262210846E-2,-7.105708122E-3,-6.169998646E-2
7.697109570E-1,-5.682945251E-2,1.999735832E-3,-9.566462040E-2
7.887258530E-1,-1.261329651E-1,-1.674258709E-2,-6.741487980E-2
8.077407490E-1,-2.674961090E-2,-1.019309461E-1,-1.126444340E-2
8.267556970E-1,1.332759857E-2,-1.820766926E-1,4.011106491E-2
8.457705930E-1,-3.367137909E-2,-1.599321812E-1,3.380823135E-2
8.647854890E-1,-3.690338135E-2,-1.442177296E-1,1.417112350E-2
8.838003850E-1,-3.410339355E-2,-1.834765822E-1,-6.612062454E-3
9.028153320E-1,-2.285957336E-2,-2.051430494E-1,-9.184479713E-3
9.218302280E-1,-3.765964508E-2,-2.094419599E-1,-2.189087868E-2
9.408451240E-1,-5.818462372E-2,-1.503067464E-1,-5.260670185E-2
9.598600720E-1,6.981849670E-3,-9.411281347E-2,-4.546916485E-2
9.788749680E-1,1.367187500E-2,-9.155616164E-2,-3.500437737E-2
9.978898640E-1,-1.227188110E-2,-1.067880094E-1,-3.902602196E-2
1.016904812E0,-5.213546753E-2,-8.578880131E-2,-9.011363983E-2
1.035919707E0,-3.651809692E-2,-4.086437821E-2,-1.179323196E-1
1.054934603E0,-1.972389221E-2,9.316205978E-4,-1.181130409E-1
1.073949551E0,-1.459217072E-2,2.351790667E-2,-1.169180870E-1
1.092964447E0,2.490425110E-2,5.288007855E-2,-1.867220402E-1
1.111979343E0,4.599761963E-2,7.313087583E-2,-2.844504118E-1
1.130994239E0,4.090881348E-2,8.674526215E-2,-3.122199774E-1
1.150009187E0,1.429367065E-2,7.526347041E-2,-3.047894239E-1
1.169024082E0,-7.167816162E-3,6.116613746E-2,-2.872765064E-1
1.188038978E0,2.011013031E-2,5.464825034E-2,-2.637268305E-1
1.207053926E0,1.486492157E-2,7.679882646E-2,-2.601493597E-1
1.226068822E0,3.347206116E-2,8.602139354E-2,-2.533618212E-1
1.245083718E0,4.637622833E-2,5.477246642E-2,-2.495992184E-1
1.264098614E0,-1.812267303E-2,8.020403981E-2,-2.111725807E-1
1.283113562E0,-1.190280914E-2,5.543434620E-2,-2.317367792E-1
1.302128457E0,6.896018982E-3,1.164311171E-2,-2.287160158E-1
1.321143353E0,1.957416534E-2,-2.313312888E-2,-1.846039295E-1
1.340158301E0,3.121376038E-3,-4.065340757E-2,-1.593487263E-1
1.359173197E0,-1.047992706E-2,-5.590742826E-2,-1.507775784E-1
1.378188093E0,-1.849937439E-2,-5.348846316E-2,-1.090724468E-1
1.397202989E0,-7.851600647E-3,-8.198685944E-2,-7.439506054E-2
1.416217937E0,-1.668167114E-2,-1.055402309E-1,-9.271514416E-2
1.435232832E0,-4.186820984E-2,-8.781717718E-2,-1.692504883E-1
1.454247728E0,-3.881454468E-3,-7.942123711E-2,-1.944258213E-1
1.473262624E0,1.340198517E-2,-5.848926306E-2,-1.453647614E-1
1.492277572E0,-3.565025330E-2,-4.984445870E-2,-8.580422401E-2
1.511292468E0,-5.480289459E-2,-4.490852356E-2,-7.894420624E-2
1.530307364E0,-3.966045380E-2,-5.160804093E-2,-1.004441977E-1
1.549322312E0,-1.258850098E-4,-6.495767832E-2,-1.149204969E-1
1.568337207E0,2.279281616E-3,-7.045659423E-2,-1.005383730E-1
1.587352103E0,-1.549148560E-2,-1.017021835E-1,-1.047011614E-1
1.606366999E0,-2.509021759E-2,-8.574809134E-2,-1.559331417E-1
1.625381947E0,-9.577751160E-3,-4.649314284E-2,-1.542284489E-1
1.644396843E0,-1.503467560E-2,-2.091845870E-2,-1.025650501E-1
1.663411739E0,-4.062747955E-2,-3.965619206E-2,-7.209098339E-2
1.682426635E0,-4.374980927E-2,-6.169405580E-2,-6.590843201E-2
1.701441582E0,-3.319549561E-2,-6.481674314E-2,-6.632471085E-2
1.720456478E0,-1.023960114E-2,-6.171192229E-2,-3.551876545E-2
1.739471374E0,-1.591014862E-2,-2.602308989E-2,-2.722370625E-2
1.758486270E0,-3.404617310E-3,1.652574539E-2,-2.567160130E-2
1.777501166E0,9.188652039E-3,5.257374048E-2,-4.744195938E-2
1.796516114E0,-1.256942749E-2,6.827741861E-3,-6.133973598E-2
1.815531010E0,-5.101299286E-2,-3.313595057E-2,-2.427792549E-2
1.834545905E0,-5.543327332E-2,-3.831908107E-2,-4.364252090E-2
1.853560801E0,-5.178451538E-3,-4.610636830E-2,-8.632969856E-2
1.872575749E0,3.393077850E-2,-8.287055790E-2,-8.818435669E-2
1.891590645E0,3.128051758E-4,-9.532113373E-2,-6.333458424E-2
1.910605541E0,-4.276371002E-2,-7.899536192E-2,-6.172382832E-2
1.929620437E0,-2.538776398E-2,-6.100745499E-2,-7.653880119E-2
1.948635332E0,2.292633057E-3,-7.652701437E-2,-7.772421837E-2
1.967650280E0,-4.213333130E-3,-5.764946342E-2,-8.282101154E-2
1.986665176E0,-2.407932281E-2,-2.142636478E-2,-1.253943443E-1
2.005680072E0,-5.633354187E-3,9.603351355E-3,-1.364285946E-1
2.024694968E0,3.684997559E-3,1.916080713E-3,-1.056196690E-1
2.043709916E0,-1.452541351E-2,-6.655901670E-3,-9.883654118E-2
2.062724812E0,-2.762413025E-2,8.282661438E-3,-1.478353739E-1
2.081739707E0,-8.068084717E-3,2.799412608E-2,-1.997041702E-1
2.100754603E0,1.345920563E-2,2.224464715E-2,-2.231178284E-1
2.119769499E0,2.069759369E-2,-8.372023702E-3,-1.783776283E-1
2.138784447E0,-3.865909576E-2,-3.146444261E-2,-8.384680748E-2
2.157799343E0,-4.963302612E-2,-2.656567097E-2,-2.687025070E-2
2.176814239E0,1.396179199E-2,2.962023020E-2,-1.788890362E-2
2.195829135E0,4.928779602E-2,9.246174991E-2,-1.065255404E-1
2.214844030E0,2.152156830E-2,1.708468050E-1,-1.898146868E-1
2.233858978E0,-2.799987793E-2,1.725288630E-1,-2.457985878E-1
2.252873874E0,-2.456951141E-2,9.188807011E-2,-2.273417711E-1
2.271888770E0,-2.237129211E-2,3.004397452E-2,-1.654322147E-1
2.290903666E0,3.928184509E-3,4.748046398E-2,-1.296470165E-1
2.309918562E0,7.454872131E-3,1.124868393E-1,-1.267576218E-1
2.328933457E0,-4.132366180E-2,1.387236565E-1,-1.019146442E-1
2.347948405E0,-5.556011200E-2,6.233394146E-2,-6.265652180E-2
2.366963301E0,-5.267047882E-2,-1.811546236E-1,-1.708114147E-2
2.385978197E0,1.741218567E-2,-4.000039101E-1,3.971135616E-2
2.404993093E0,-5.433082581E-3,-4.890980422E-1,5.694484711E-2
2.424007989E0,-2.767562866E-2,-4.762656987E-1,2.962601185E-2
2.443022885E0,-7.110977173E-2,-4.374499023E-1,6.278133392E-2
2.462037832E0,-9.798812866E-2,-3.632103503E-1,1.011453867E-1
2.481052728E0,-2.291488647E-2,-2.068995833E-1,8.141434193E-2
2.500067624E0,-2.038955688E-3,-2.874371409E-2,1.336908340E-2
2.519082520E0,-7.869815826E-2,-2.638474107E-2,-3.360939026E-2
2.538097416E0,-5.603122711E-2,-4.957547784E-2,-1.033405066E-1
2.557112312E0,-2.034473419E-2,-1.593672633E-1,-6.357681751E-2
2.576127207E0,-3.776645660E-2,-1.591502726E-1,-1.517188549E-2
2.595142155E0,-4.450321198E-2,-1.115989834E-1,4.415953159E-2
2.614157051E0,-8.105182648E-2,-1.440500468E-1,4.808843136E-2
2.633171947E0,-6.222915649E-2,-2.083951980E-1,1.530146599E-2
2.652186843E0,-7.794380188E-3,-2.450451702E-1,-4.903769493E-2
2.671201739E0,4.651069641E-3,-2.431869954E-1,-9.096431732E-2
2.690216635E0,-2.905559540E-2,-1.136806160E-1,-1.450980902E-1
2.709231530E0,2.893447876E-3,7.175612450E-2,-2.103693485E-1
2.728246478E0,3.264427185E-2,2.495174110E-1,-2.354421616E-1
2.747261374E0,-1.532173157E-2,3.057584763E-1,-1.962448359E-1
2.766276270E0,-6.346416473E-2,2.404909134E-1,-6.387233734E-2
2.785291166E0,-2.578735352E-2,1.616142392E-1,-5.409717560E-3
2.804306062E0,6.434822083E-2,7.321614027E-2,-2.207398415E-3
