t,p
0.087402762,997.2680664
0.127409637,997.293335
0.167401721,997.2839966
0.207401929,997.2822876
0.247402189,997.3190308
0.287400106,997.3717651
0.327397241,997.3198853
0.367401721,997.3742676
0.407395627,997.3746948
0.447393752,997.3617554
0.487397918,997.3305054
0.527398543,997.3336792
0.567397866,997.3488159
0.607402658,997.3670654
0.647398491,997.3309326
0.68739495,997.3411255
0.727398543,997.3309326
0.767394741,997.2946167
0.807397762,997.3362427
0.847397606,997.3566284
0.887396773,997.369812
0.927396408,997.4216919
0.967396408,997.4216919
1.007402085,997.4242554
1.047392502,997.4191284
1.087395575,997.3693848
1.127396981,997.3980713
1.167399898,997.4267578
1.207406877,997.4267578
1.247397971,997.4578247
1.2873987,997.567688
1.32739396,997.5498047
1.367389637,997.5604248
1.407390887,997.6309814
1.447393804,997.5997314
1.487393752,997.5791626
1.527394012,997.5222168
1.567394481,997.4937134
1.607390002,997.475647
1.647394741,997.4472046
1.68739245,997.4525146
1.72739245,997.4837036
1.767393491,997.4992676
1.807395054,997.5145264
1.847389793,997.4992676
1.887391304,997.5175171
1.927392971,997.4888306
1.96739396,997.4469604
2.0073962,997.512207
2.047388335,997.4835205
2.087392866,997.4992676
2.127389012,997.4707642
2.167398335,997.4938965
2.207390106,997.4865112
2.24739021,997.491394
2.2873887,997.46521
2.327392137,997.4758911
2.367396877,997.5070801
2.40739271,997.5304565
2.44739245,997.543457
2.487386773,997.53302
2.527389064,997.5175171
2.567393023,997.5149536
2.607394273,997.4682007
2.647389116,997.4786377
2.687389846,997.5045776
2.727391096,997.5251465
2.767394846,997.4943237
2.807388596,997.5070801
2.847388335,997.5098877
2.887392606,997.4992676
2.927392189,997.4915771
2.967390679,997.5151978
3.007395835,997.4707642
3.047387918,997.4837036
3.087389585,997.5202637
3.12739271,997.4941406
3.167389012,997.4682007
3.207394273,997.50177
3.247387137,997.5098877
3.287391252,997.4968872
3.327389429,997.5151978
3.367389898,997.4786377
3.407388335,997.4865112
3.447392918,997.4918213
3.487389325,997.5098877
3.527388856,997.4941406
3.567390262,997.4656372
3.607398335,997.4837036
3.647392293,997.4892578
3.687397554,997.4892578
3.727393075,997.5123901
3.767387918,997.4918213
3.807389064,997.4888306
3.847392137,997.4788208
3.887387033,997.4813843
3.927392189,997.4996338
3.96738896,997.4813843
4.007389898,997.5073242
4.047387502,997.5047607
4.087387033,997.4967041
4.127386773,997.4915771
4.167394429,997.4941406
4.207387918,997.4763184
4.247391408,997.4996338
4.287393231,997.50177
4.327387971,997.4865112
4.367389273,997.4967041
4.407390158,997.4735107
4.447399429,997.4837036
4.487390887,997.4475708
4.527388335,997.5151978
4.567394012,997.4475708
4.607388543,997.4760742
4.647389429,997.4892578
4.687390939,997.4994507
4.727392814,997.4890137
4.767396096,997.4992676
4.807391668,997.4837036
4.847389168,997.4786377
4.887389898,997.4813843
4.92738995,997.4709473
4.967389585,997.5045776
5.007392502,997.5200806
5.047390366,997.4967041
5.087388648,997.5098877
5.127390783,997.4580078
5.167397658,997.5123901
5.20739245,997.4682007
5.247392502,997.4627075
5.287386773,997.4885864
5.327397658,997.5175171
5.367390887,997.5043335
5.407386981,997.5070801
5.447392971,997.4730835
5.487389637,997.5200806
5.527390731,997.4862671
5.567393804,997.53302
5.607392033,997.5149536
5.647391408,997.4937134
5.687388804,997.4915771
5.727391408,997.4938965
5.76738646,997.5302734
5.807395366,997.5172729
5.847391512,997.5175171
5.887390262,997.5251465
5.927390262,997.46521
5.967389377,997.5149536
6.007392398,997.5020142
6.047391043,997.49646
6.087386877,997.5041504
6.127392085,997.4962769
6.167390158,997.5170898
6.207388491,997.53302
6.247389585,997.4911499
6.287389377,997.49646
6.327389221,997.5251465
6.367390106,997.5041504
6.407389273,997.4937134
6.447391929,997.5223999
6.487387085,997.5432129
6.527387971,997.4967041
6.567391616,997.5041504
6.607389637,997.4990234
6.647393283,997.5041504
6.687391668,997.5119629
6.727391512,997.5196533
6.767389116,997.5222168
6.807389429,997.506897
6.84739271,997.4990234
6.887389377,997.4733276
6.927390835,997.5043335
6.967394429,997.5045776
7.007390366,997.4733276
7.047393804,997.4992676
7.08739245,997.5094604
7.127397971,997.5408936
7.167386408,997.4812012
7.207391721,997.5045776
7.2473912,997.5096436
7.287386929,997.506897
7.327392971,997.5070801
7.367395783,997.4812012
7.407413283,997.53302
7.447388856,997.5149536
7.487387971,997.5070801
7.527388648,997.5045776
7.56739245,997.4837036
7.607390002,997.5251465
7.647386773,997.5020142
7.687388908,997.522583
7.727388648,997.4709473
7.767391356,997.5070801
7.807387971,997.4786377
7.847386981,997.4865112
7.887386929,997.4760742
7.927390731,997.4684448
7.967387137,997.4682007
8.007391043,997.4865112
8.047389064,997.5175171
8.087386096,997.4865112
8.127387762,997.4967041
8.167399064,997.4786377
8.207390835,997.5149536
8.247391148,997.4915771
8.287388596,997.5334473
8.327389846,997.5050049
8.3673962,997.4998779
8.407389637,997.4943237
8.447387762,997.4633179
8.487392398,997.5126343
8.527388543,997.5205078
8.567387137,997.5021973
8.607389481,997.515625
8.647389064,997.505188
8.687390158,997.505188
8.727389064,997.4898682
8.767392189,997.4637451
8.807388491,997.4949951
8.847390262,997.4873657
8.887388491,997.5158081
8.927394325,997.4975586
8.967395314,997.5081787
9.007391252,997.5030518
9.047387085,997.4746094
9.087389846,997.5056152
9.127389429,997.4639893
9.167387658,997.4746094
9.2073887,997.4875488
9.247392189,997.4771118
9.287390835,997.477356
9.327389898,997.4539795
9.36738995,997.4382324
9.407390314,997.4647827
9.44739271,997.4750366
9.487387085,997.4541626
9.527386564,997.4699097
9.567393127,997.4492798
9.607388179,997.4881592
9.647390054,997.4909668
9.687386981,997.4862671
9.727388283,997.4729004
9.767387137,997.4677734
9.807390106,997.4758911
9.847390575,997.4680176
9.887391512,997.4578247
9.927388856,997.475647
9.967389064,997.4812012
10.00739021,997.4735107
10.04738891,997.4603271
10.08739115,997.4580078
10.12738985,997.4656372
10.16738854,997.4841309
10.20739261,997.5021973
10.24739011,997.4788208
10.2873912,997.5077515
10.32739167,997.4478149
10.36739818,997.4841309
10.40739183,997.4533081
10.44738979,997.4741821
10.48739156,997.4637451
10.52739052,997.4431152
10.56739162,997.4561157
10.60739156,997.4924316
10.64738938,997.4746094
10.68738906,997.4720459
10.72739458,997.4824219
10.76739182,997.4902954
10.80739021,997.4539795
10.84739323,997.4799194
10.88738766,997.5140991
10.92738979,997.477356
10.96739427,997.4932861
11.00738958,997.4984131
11.04739141,997.4985962
11.08738735,997.4932861
11.12739245,997.4881592
11.16738672,997.4647827
11.20739193,997.4988403
11.24739011,997.5043335
11.28738818,997.4807739
11.32739068,997.5196533
11.36738703,997.5353394
11.40738969,997.4938965
11.44739271,997.5251465
11.48738787,997.4835205
11.5273875,997.5098877
11.56739599,997.4866943
11.60738964,997.4628906
11.64738792,997.4945679
11.68739156,997.5126343
11.72739443,997.4892578
11.76738886,997.5308838
11.80739011,997.4841309
11.84739354,997.5103149
11.88738672,997.4866943
11.92738974,997.5079346
11.96738802,997.5130615
12.00738985,997.4975586
12.04739323,997.4894409
12.08738844,997.500061
12.12738813,997.4975586
12.16739261,997.4896851
12.20739099,997.4951782
12.24739224,997.4951782
12.28739136,997.4769287
12.32738729,997.4901123
12.36738818,997.5241089
12.40738901,997.5057983
12.44739167,997.493103
