time,angularVelocity_x,angularVelocity_y,angularVelocity_z
1699310147788,0.03179274,0.01149133,0.00577236
1699310147799,-0.00244551,-0.01491858,0.006496586
1699310147813,-0.004802693,-0.0190037,0.005852339
1699310147833,-0.001937128,-0.02243514,0.006579155
1699310147853,0.003117082,-0.02062243,0.004582171
1699310147873,0.002985473,-0.01944983,0.001268437
1699310147889,-0.0002763556,-0.01486468,-0.001760093
1699310147906,-0.002704563,-0.009304876,-0.00346133
1699310147922,-0.00696383,-0.003687171,-0.002327016
1699310147939,-0.008481386,0.003910138,-0.002672511
1699310147956,-0.004068619,0.007832142,-0.001501866
1699310147971,0.003164406,0.007371026,-0.004038786
1699310147986,0.008978292,0.005814867,-0.001435199
1699310148003,0.01343238,0.006565006,-0.00137675
1699310148015,0.01640984,0.004304868,-0.005026045
1699310148029,0.01301964,0.007721224,-0.003683679
1699310148048,0.01299642,0.00676122,-0.008107304
1699310148060,0.01135652,0.005766647,-0.006336584
1699310148074,0.01281463,0.005499065,0.0006629729
1699310148089,0.01736407,0.003162251,-0.004776954
1699310148103,0.02421346,0.004815246,-0.005182809
1699310148117,0.02376548,0.006841963,0.001331264
1699310148129,0.02383055,0.004645438,0.004642894
1699310148143,0.01648393,0.008203032,0.01266595
1699310148159,0.01353066,0.006315745,0.01077915
1699310148172,0.004916131,0.008090614,0.006310724
1699310148185,0.006469266,0.007030859,9.571222e-05
1699310148200,0.004202914,0.007268535,-0.003814061
1699310148214,0.002968186,0.007426991,-0.007450995
1699310148228,0.002620359,0.006364851,-0.006438673
1699310148243,-0.001076494,0.005538712,-0.005205677
1699310148258,0.002229857,0.008485514,-0.004338406
1699310148273,0.008956794,0.01226328,-0.003664623
1699310148287,0.009803221,0.01651122,-0.005651971
1699310148304,0.009561015,0.01977453,-0.007916999
1699310148318,0.004158776,0.02115043,-0.003840471
1699310148331,0.002530155,0.02441552,-0.0009458462
1699310148340,-0.003853498,0.02268175,0.001767606
1699310148353,-0.001963346,0.02138545,0.006701903
1699310148368,-0.003865341,0.01843476,0.0006553502
1699310148382,0.009300045,0.01529285,0.004193754
1699310148395,0.01308973,0.01171444,0.009635265
1699310148409,0.01364578,0.006266003,0.01421208
1699310148422,0.02186314,0.00365391,0.007586684
1699310148437,0.02183941,-0.0005974632,0.006482181
1699310148451,0.01857536,-0.000297518,0.002293202
1699310148465,0.008851254,-0.002781254,0.0007831151
1699310148478,0.004742852,-0.001468052,0.004092732
1699310148491,0.00215083,-0.002302732,0.001185777
1699310148504,0.004667328,-0.002529151,0.004076244
1699310148518,0.006791866,-0.001623712,0.004644629
1699310148533,0.006360111,-0.003743601,0.005641123
1699310148548,0.002339981,-0.002367218,0.004552449
1699310148561,0.002072057,-0.003365601,0.001168326
1699310148575,0.0003012138,-0.003213086,-0.0004144971
1699310148588,-0.004373292,-0.008143838,-0.004963668
1699310148602,-0.008740344,-0.008827131,-0.009449225
1699310148616,-0.01231145,-0.01277707,-0.01370605
1699310148631,-0.02183164,-0.01632182,-0.01625024
1699310148644,-0.0182607,-0.01336758,-0.01640499
1699310148656,-0.01680264,-0.01232135,-0.02154678
1699310148672,-0.01673952,-0.01126288,-0.02151832
1699310148685,-0.01390809,-0.007237882,-0.01857318
1699310148700,-0.01580227,-0.005948605,-0.02350623
1699310148712,-0.0169595,-0.003725532,-0.022712
1699310148726,-0.01872228,0.0006577221,-0.02317327
1699310148741,-0.0198884,0.002852383,-0.02236679
1699310148755,-0.01604813,0.005831097,-0.02354881
1699310148769,-0.01009478,0.005451305,-0.02528377
1699310148783,-0.005994441,0.005171863,-0.02418813
1699310148796,-0.006548958,0.005170814,-0.02212409
1699310148810,-0.008524611,0.003093903,-0.01935416
1699310148822,-0.007969646,0.003107683,-0.02141714
1699310148837,-0.008950545,0.005215563,-0.01724155
1699310148852,-0.01296933,0.002320221,-0.01943883
1699310148866,-0.01571999,0.004555917,-0.01684611
1699310148880,-0.02002618,0.002629405,-0.01359476
1699310148894,-0.01975479,0.002622959,-0.01462142
1699310148907,-0.01945719,0.001666291,-0.02008205
1699310148920,-0.02548422,0.004228413,-0.02166923
1699310148933,-0.0314633,0.008767791,-0.01880828
1699310148947,-0.03973829,0.009255531,-0.01659809
1699310148964,-0.05204264,0.01395799,-0.006593314
1699310148979,-0.06558742,0.01588895,-0.009108797
1699310148991,-0.06761952,0.01843178,-0.01732039
1699310149005,-0.07314891,0.01661902,-0.01774318
1699310149020,-0.07330253,0.0187293,-0.01664464
1699310149033,-0.0724862,0.02308471,-0.01852966
1699310149046,-0.07193727,0.02596775,-0.01168084
1699310149060,-0.06773039,0.02778407,-0.01047627
1699310149075,-0.06641226,0.0320765,-0.010022
1699310149088,-0.06647602,0.03100868,-0.01006924
1699310149103,-0.06852694,0.03115668,-0.01059526
1699310149116,-0.06903871,0.03024277,-0.0129941
1699310149130,-0.06971966,0.02807396,-0.01106659
1699310149144,-0.06138108,0.02727586,-0.005429475
1699310149158,-0.05115972,0.0212831,-0.003912563
1699310149171,-0.04263222,0.01465851,-0.008469
1699310149184,-0.03540729,0.01520825,-0.006445297
1699310149199,-0.03264099,0.009685602,-0.005886209
1699310149213,-0.03472597,0.01017806,0.005758491
1699310149227,-0.02939099,0.003536688,0.004763031
1699310149241,-0.02452033,-0.001097698,0.005913759
1699310149255,-0.02042285,-0.003264686,0.002522762
1699310149268,-0.02015929,-0.006629444,0.004668343
1699310149281,-0.02066705,-0.007522126,0.002266434
1699310149297,-0.02107978,-0.009684492,0.003151232
1699310149310,-0.02472343,-0.007690951,0.008897593
1699310149324,-0.02216338,-0.006975501,0.01186638
1699310149337,-0.02209277,-0.00406612,0.0164744
1699310149350,-0.01890996,-0.002183101,0.01744204
1699310149365,-0.01822185,-0.001522563,0.02321872
1699310149380,-0.02090364,-0.000699763,0.0291664
1699310149394,-0.0260157,-0.002117295,0.02324309
1699310149408,-0.02608749,-0.005016307,0.01864253
1699310149421,-0.02230111,-0.007220108,0.01624736
1699310149435,-0.01482852,-0.01193009,0.01587255
1699310149448,-0.005074238,-0.01600887,0.0194692
1699310149462,0.002123357,-0.01736601,0.01695887
1699310149476,0.003046974,-0.01772469,0.02164107
1699310149490,0.006936575,-0.01365716,0.02069462
