time,rotate_x,rotate_y,rotate_z
1699310147788,-0.08183581,-0.06026635,-0.02919169
1699310147799,-0.08282802,-0.05980492,-0.02954644
1699310147813,-0.08274297,-0.05950502,-0.02954954
1699310147833,-0.08282016,-0.05924276,-0.02937409
1699310147853,-0.08276542,-0.05897988,-0.02950753
1699310147873,-0.08303119,-0.05914086,-0.02929212
1699310147889,-0.08293077,-0.05916166,-0.02922738
1699310147906,-0.08283439,-0.05924189,-0.02918715
1699310147922,-0.08268484,-0.0593311,-0.02925505
1699310147939,-0.08258835,-0.05950265,-0.02930564
1699310147956,-0.08265015,-0.05961685,-0.02933986
1699310147971,-0.08278941,-0.05968049,-0.02924754
1699310147986,-0.08296601,-0.05970423,-0.02925569
1699310148001,-0.08313911,-0.05979158,-0.0292198
1699310148014,-0.08328896,-0.05983961,-0.02909154
1699310148029,-0.083313,-0.05995934,-0.02910272
1699310148047,-0.08337507,-0.06002593,-0.02897178
1699310148060,-0.08342491,-0.06006292,-0.02896731
1699310148074,-0.08356352,-0.06007569,-0.02906854
1699310148088,-0.08373423,-0.06011096,-0.02892465
1699310148102,-0.08401496,-0.06022811,-0.02888915
1699310148116,-0.08408106,-0.06030269,-0.02899821
1699310148129,-0.08429985,-0.06022723,-0.02888258
1699310148143,-0.0842959,-0.0603869,-0.02914293
1699310148158,-0.08442498,-0.06035188,-0.02923488
1699310148172,-0.08434563,-0.06042844,-0.02924731
1699310148185,-0.08439855,-0.0604867,-0.02915726
1699310148200,-0.08437322,-0.06056134,-0.02909564
1699310148214,-0.08435958,-0.0606374,-0.02901898
1699310148228,-0.08436336,-0.06067146,-0.0289952
1699310148243,-0.08430172,-0.06069693,-0.02899997
1699310148258,-0.08435766,-0.06079845,-0.02900501
1699310148273,-0.08448869,-0.06094141,-0.02899493
1699310148287,-0.08458448,-0.06112395,-0.02893879
1699310148303,-0.08453279,-0.06141058,-0.02900167
1699310148317,-0.08458151,-0.06143183,-0.02900876
1699310148331,-0.08443875,-0.06171443,-0.02910669
1699310148340,-0.08435202,-0.06186271,-0.02911352
1699310148353,-0.08430682,-0.06191088,-0.02918117
1699310148368,-0.08435351,-0.06197229,-0.02926151
1699310148382,-0.0846146,-0.06204338,-0.02930219
1699310148395,-0.08482877,-0.06202255,-0.02947562
1699310148408,-0.08507733,-0.06198975,-0.02949618
1699310148422,-0.08518763,-0.06197098,-0.02936233
1699310148437,-0.08535164,-0.06188661,-0.02936121
1699310148451,-0.08541741,-0.06199516,-0.02937805
1699310148464,-0.08532917,-0.06193398,-0.02936377
1699310148478,-0.0853169,-0.06191517,-0.02943384
1699310148490,-0.08530056,-0.0618851,-0.02937997
1699310148504,-0.08540601,-0.06185082,-0.02942952
1699310148518,-0.08549295,-0.06185018,-0.02945565
1699310148532,-0.08553752,-0.06178737,-0.0294868
1699310148547,-0.08549152,-0.0617907,-0.02951315
1699310148561,-0.08549291,-0.06176031,-0.02946873
1699310148575,-0.08546209,-0.06172712,-0.02944559
1699310148588,-0.08534861,-0.06159769,-0.02932806
1699310148602,-0.08521631,-0.06153324,-0.02920176
1699310148615,-0.08497861,-0.06135419,-0.02894681
1699310148631,-0.08466442,-0.06125262,-0.02882412
1699310148644,-0.08462261,-0.06120339,-0.02877938
1699310148656,-0.0845027,-0.06118965,-0.02848518
1699310148672,-0.0845878,-0.06109926,-0.02850013
1699310148685,-0.08429804,-0.06118204,-0.0282384
1699310148699,-0.08421749,-0.0613073,-0.028166
1699310148712,-0.08383352,-0.06129275,-0.02807767
1699310148726,-0.08375446,-0.06140088,-0.02787714
1699310148741,-0.08369223,-0.06136476,-0.02780609
1699310148755,-0.0835477,-0.06147595,-0.02771717
1699310148768,-0.08365959,-0.06160744,-0.02741523
1699310148783,-0.08352282,-0.0616599,-0.02725202
1699310148796,-0.08334038,-0.06170024,-0.02700212
1699310148809,-0.08339087,-0.061809,-0.02699799
1699310148822,-0.08332406,-0.06185302,-0.02695931
1699310148837,-0.0832629,-0.061763,-0.02695026
1699310148851,-0.08292706,-0.06185707,-0.02671475
1699310148866,-0.08281692,-0.0619428,-0.02666696
1699310148880,-0.08250356,-0.0619515,-0.02679752
1699310148894,-0.08247038,-0.06193082,-0.02658901
1699310148907,-0.08230051,-0.06203203,-0.02636375
1699310148920,-0.08203912,-0.06200437,-0.02646535
1699310148933,-0.08168434,-0.06217368,-0.02626348
1699310148947,-0.0811574,-0.06217307,-0.02652887
1699310148964,-0.08067006,-0.06236024,-0.02661607
1699310148979,-0.08005216,-0.06247869,-0.02656878
1699310148991,-0.07947991,-0.06250156,-0.02655441
1699310149005,-0.07892911,-0.06259823,-0.02646247
1699310149020,-0.07845629,-0.06274725,-0.02647514
1699310149033,-0.07785155,-0.06289525,-0.02660757
1699310149046,-0.0774281,-0.06309676,-0.02666134
1699310149060,-0.07698879,-0.06327888,-0.02657031
1699310149075,-0.07650603,-0.06354532,-0.02701449
1699310149088,-0.0759937,-0.06372377,-0.0270328
1699310149102,-0.07551969,-0.06378661,-0.02704161
1699310149116,-0.07498472,-0.0640146,-0.0270426
1699310149130,-0.07455034,-0.06420481,-0.02719677
1699310149144,-0.07424904,-0.06428099,-0.02719776
1699310149157,-0.07421022,-0.06418593,-0.02724734
1699310149170,-0.07389966,-0.06428282,-0.02726315
1699310149184,-0.07377432,-0.06446216,-0.02735589
1699310149199,-0.07352435,-0.06439899,-0.02739874
1699310149213,-0.07336342,-0.06442231,-0.02754719
1699310149227,-0.07331619,-0.06412239,-0.02766645
1699310149241,-0.0731777,-0.06410183,-0.02765203
1699310149255,-0.07306524,-0.06405449,-0.02760541
1699310149268,-0.07299109,-0.06392245,-0.02769755
1699310149281,-0.07274695,-0.06381011,-0.02767192
1699310149297,-0.07259209,-0.06377335,-0.0278288
1699310149309,-0.07241724,-0.0635853,-0.02807611
1699310149323,-0.07232355,-0.06356622,-0.02808148
1699310149337,-0.07229467,-0.06344192,-0.0282339
1699310149349,-0.07227984,-0.06360386,-0.0282876
1699310149365,-0.07217773,-0.06339981,-0.02871506
1699310149380,-0.07199506,-0.06345266,-0.02888805
1699310149393,-0.07183035,-0.06329025,-0.02899643
1699310149408,-0.07161113,-0.06315981,-0.02906183
1699310149421,-0.0716456,-0.06323659,-0.02907641
1699310149435,-0.07169197,-0.06283583,-0.02933491
1699310149448,-0.07179341,-0.0625829,-0.02942032
1699310149462,-0.07198236,-0.06256439,-0.02949574
1699310149476,-0.07223459,-0.06244977,-0.02948039
1699310149490,-0.07217836,-0.06241423,-0.02984171
1699310149505,-0.07228731,-0.06225827,-0.02990777
1699310149519,-0.07228891,-0.06219684,-0.03020087
1699310149532,-0.07233953,-0.06235099,-0.03038519
1699310149546,-0.07243755,-0.06218365,-0.03064911
1699310149560,-0.07265704,-0.06205067,-0.03090652
1699310149574,-0.07292397,-0.06201603,-0.0310739
1699310149587,-0.07293185,-0.06189945,-0.03118505
1699310149602,-0.07300775,-0.0617539,-0.03144995
1699310149616,-0.07306378,-0.0616931,-0.0315682
1699310149631,-0.07304419,-0.0615894,-0.0318816
1699310149644,-0.07290827,-0.0615249,-0.03228026
1699310149656,-0.07304503,-0.06133296,-0.03232121
1699310149671,-0.07290681,-0.06112479,-0.03267059
1699310149685,-0.07280011,-0.06091277,-0.03311807
1699310149700,-0.07307085,-0.06069012,-0.03326001
1699310149714,-0.07324792,-0.06053486,-0.03354594
1699310149728,-0.07342064,-0.06039947,-0.03370082
1699310149742,-0.07343654,-0.06005801,-0.03391014
1699310149755,-0.07347715,-0.05989018,-0.03421654
1699310149769,-0.07344192,-0.05962649,-0.03448372
1699310149783,-0.07323575,-0.0593278,-0.03490847
1699310149797,-0.07293262,-0.05923344,-0.03484583
1699310149810,-0.07286271,-0.05892022,-0.03482759
1699310149825,-0.07295126,-0.05876052,-0.03490302
1699310149839,-0.07319671,-0.05862568,-0.03472419
1699310149852,-0.07326838,-0.05842753,-0.03492406
1699310149866,-0.07348689,-0.05821823,-0.03486213
1699310149879,-0.0737296,-0.05804144,-0.03481623
1699310149893,-0.07385738,-0.05801751,-0.03513884
1699310149908,-0.07387834,-0.05784921,-0.03501903
1699310149921,-0.07393458,-0.05787353,-0.03484966
1699310149936,-0.07402603,-0.05782157,-0.03500273
1699310149950,-0.07409356,-0.05784187,-0.03503849
1699310149964,-0.07420452,-0.05782555,-0.03504817
1699310149977,-0.07427725,-0.05782971,-0.03517308
1699310149991,-0.07445736,-0.05787452,-0.03513166
1699310150006,-0.07458956,-0.05789441,-0.03516578
1699310150018,-0.07460541,-0.05795626,-0.03527338
1699310150033,-0.0747159,-0.05805574,-0.0355726
1699310150047,-0.07475816,-0.05796602,-0.03571303
1699310150061,-0.07465177,-0.05808406,-0.03597039
1699310150075,-0.07474871,-0.05805454,-0.03624046
1699310150087,-0.07472148,-0.05800773,-0.03623972
1699310150102,-0.0747669,-0.05788742,-0.03625849
1699310150116,-0.07495181,-0.05781882,-0.03646748
1699310150130,-0.07499982,-0.05762772,-0.03669478
1699310150144,-0.07492063,-0.05771126,-0.03671546
1699310150158,-0.07498647,-0.05762583,-0.03708967
1699310150172,-0.07503378,-0.05768158,-0.037176
1699310150187,-0.07493562,-0.05767687,-0.03731999
1699310150198,-0.07509751,-0.05741818,-0.03735717
1699310150214,-0.07524028,-0.05745709,-0.0375696
1699310150227,-0.07533361,-0.05736138,-0.0375752
1699310150241,-0.07539397,-0.05736652,-0.03763222
1699310150256,-0.07546329,-0.05724926,-0.03772847
1699310150268,-0.07556108,-0.05724651,-0.03776899
1699310150282,-0.07561125,-0.05718805,-0.03788953
1699310150296,-0.07566187,-0.05718467,-0.03796183
1699310150311,-0.07581418,-0.05715041,-0.03800419
1699310150325,-0.07592021,-0.05716993,-0.03811113
1699310150339,-0.07602814,-0.05702698,-0.03821889
1699310150353,-0.07613707,-0.05705048,-0.03844672
1699310150366,-0.07621615,-0.0570686,-0.03846642
1699310150380,-0.07639916,-0.05703394,-0.03861256
1699310150393,-0.07639585,-0.05694461,-0.03867936
1699310150408,-0.07643728,-0.05692148,-0.03875945
1699310150421,-0.07659923,-0.05655338,-0.03890837
1699310150440,-0.07681369,-0.05652811,-0.03895148
1699310150449,-0.07724429,-0.05632834,-0.03913297
1699310150463,-0.07759292,-0.056199,-0.03923139
1699310150476,-0.07776944,-0.05605172,-0.0394095
1699310150490,-0.07803032,-0.05560252,-0.03964209
1699310150505,-0.07860305,-0.05567969,-0.03941974
1699310150518,-0.07890265,-0.05550714,-0.03935238
1699310150532,-0.0790745,-0.05534355,-0.03940371
1699310150546,-0.07918635,-0.05513704,-0.03931952
1699310150562,-0.0792235,-0.05496486,-0.03938402
1699310150576,-0.07911224,-0.05485646,-0.03934288
1699310150590,-0.07917794,-0.05484389,-0.03932894
1699310150603,-0.07922863,-0.05484001,-0.03895374
1699310150616,-0.07927069,-0.05502972,-0.03866776
1699310150630,-0.07927723,-0.055094,-0.03854504
1699310150644,-0.079345,-0.0552108,-0.0384336
1699310150659,-0.07951564,-0.05533056,-0.03855189
1699310150672,-0.07952646,-0.05541661,-0.03842635
1699310150685,-0.07971944,-0.05557527,-0.03824545
1699310150700,-0.07978293,-0.05579373,-0.03817191
1699310150714,-0.0797824,-0.05599126,-0.03802586
1699310150728,-0.07993171,-0.05611695,-0.03805929
1699310150742,-0.07982578,-0.05617402,-0.03797903
1699310150756,-0.08000643,-0.05635977,-0.03786092
1699310150769,-0.08005762,-0.05649513,-0.03779476
1699310150783,-0.08044259,-0.05657727,-0.03771586
1699310150797,-0.08070727,-0.05678815,-0.03781411
1699310150810,-0.08073969,-0.05693483,-0.03814025
1699310150824,-0.08076698,-0.05715515,-0.03841741
1699310150838,-0.0807402,-0.05731656,-0.03833807
1699310150852,-0.08047669,-0.05738418,-0.03843184
1699310150867,-0.08048037,-0.05757396,-0.03858105
1699310150881,-0.08039603,-0.05741985,-0.03874777
1699310150895,-0.08069988,-0.05740672,-0.03893775
1699310150909,-0.08083025,-0.0573604,-0.03901795
1699310150921,-0.08113576,-0.05702677,-0.03927006
1699310150935,-0.08124835,-0.0567988,-0.0393413
1699310150950,-0.08152116,-0.05668233,-0.03942062
1699310150965,-0.08155437,-0.05656427,-0.03930077
1699310150979,-0.08163273,-0.05629906,-0.03948732
1699310150993,-0.08155744,-0.05614407,-0.03935973
1699310151006,-0.08168189,-0.05593733,-0.03945039
1699310151019,-0.08176306,-0.0557937,-0.03942872
1699310151034,-0.08190984,-0.05566815,-0.03959347
1699310151048,-0.08207349,-0.05541688,-0.03938351
1699310151061,-0.08239786,-0.05539964,-0.03918223
1699310151075,-0.08245163,-0.05526792,-0.03906101
1699310151089,-0.08267086,-0.05530089,-0.03906663
1699310151103,-0.08267185,-0.0551938,-0.03900939
1699310151117,-0.08284795,-0.05517574,-0.03880823
1699310151130,-0.08290616,-0.05527365,-0.038829
1699310151144,-0.08305775,-0.0552451,-0.03870909
1699310151157,-0.08311842,-0.05522235,-0.03867389
1699310151172,-0.08311196,-0.05522686,-0.038631
1699310151186,-0.0831712,-0.05521329,-0.0385602
1699310151200,-0.08311164,-0.05521977,-0.03844958
1699310151214,-0.083139,-0.05519371,-0.03837075
1699310151228,-0.08314382,-0.05512047,-0.0382749
1699310151242,-0.08315956,-0.05510239,-0.03826782
1699310151255,-0.08307446,-0.05502675,-0.03824111
1699310151269,-0.08310942,-0.05505353,-0.03811847
1699310151282,-0.08308523,-0.05509296,-0.03796886
1699310151297,-0.08302641,-0.05520523,-0.03790122
1699310151311,-0.08294971,-0.05526862,-0.03790387
1699310151325,-0.0827873,-0.05534074,-0.03801424
1699310151339,-0.0824177,-0.05549744,-0.03830093
1699310151353,-0.0821927,-0.05566125,-0.0380354
1699310151367,-0.08220237,-0.0556923,-0.03781932
1699310151379,-0.0820029,-0.05592394,-0.03783241
1699310151394,-0.08170784,-0.05585794,-0.03776117
1699310151408,-0.08171361,-0.05606763,-0.03761246
1699310151422,-0.0815346,-0.05622801,-0.03760445
1699310151437,-0.08138062,-0.05631953,-0.03761184
1699310151450,-0.0812366,-0.05634505,-0.03744193
1699310151463,-0.08118984,-0.05639975,-0.03756966
1699310151477,-0.08091006,-0.05654667,-0.03753038
1699310151491,-0.08083611,-0.05665842,-0.03741135
1699310151505,-0.08071166,-0.05673794,-0.03750391
1699310151519,-0.08059884,-0.05673009,-0.03755977
1699310151533,-0.0804985,-0.05669227,-0.03749029
1699310151546,-0.08054096,-0.05663584,-0.03722634
1699310151561,-0.08031403,-0.05673169,-0.03721178
1699310151575,-0.08034864,-0.05662669,-0.037283
1699310151588,-0.08034749,-0.05647951,-0.03747161
1699310151602,-0.0802932,-0.05645056,-0.03741203
1699310151616,-0.08030243,-0.05637978,-0.03738962
1699310151630,-0.08018018,-0.0563421,-0.03741246
1699310151645,-0.08005669,-0.05615245,-0.03734285
1699310151658,-0.07985303,-0.05601709,-0.03712718
1699310151671,-0.07979992,-0.05590978,-0.03719696
1699310151685,-0.07961594,-0.05586368,-0.03702748
1699310151700,-0.07965965,-0.0557804,-0.0369805
1699310151714,-0.0796495,-0.05565789,-0.03693981
1699310151729,-0.07972398,-0.05558451,-0.0368951
1699310151743,-0.07984634,-0.05555286,-0.03688736
1699310151756,-0.07982185,-0.05555597,-0.0368413
1699310151770,-0.07973616,-0.05555503,-0.03679641
1699310151783,-0.07973643,-0.05546354,-0.03670321
1699310151796,-0.0797415,-0.05544178,-0.03662394
1699310151811,-0.07963791,-0.05534004,-0.03660469
1699310151827,-0.07951863,-0.05527057,-0.03652688
1699310151839,-0.07949989,-0.05520782,-0.03647698
1699310151853,-0.07946034,-0.05515809,-0.03644987
1699310151867,-0.07939538,-0.0551255,-0.03638311
1699310151879,-0.0794265,-0.0551593,-0.03633068
1699310151894,-0.07944681,-0.05521378,-0.03630383
1699310151909,-0.07935677,-0.05523463,-0.03636173
1699310151922,-0.07922342,-0.05527236,-0.03636459
1699310151936,-0.07908048,-0.05537355,-0.03643506
1699310151950,-0.0789366,-0.05546726,-0.03644267
1699310151963,-0.0787233,-0.05543032,-0.03670081
1699310151977,-0.0787316,-0.05552195,-0.03661022
1699310151990,-0.07868723,-0.05554765,-0.03668825
1699310152005,-0.07863982,-0.05561312,-0.03675939
1699310152020,-0.07857434,-0.05563895,-0.03679366
1699310152035,-0.07848658,-0.05558197,-0.03692854
1699310152048,-0.07837455,-0.055571,-0.03698452
1699310152065,-0.07833137,-0.05550069,-0.03702611
1699310152076,-0.07837317,-0.05550054,-0.03699532
1699310152089,-0.07831814,-0.05552371,-0.03705123
1699310152103,-0.07830261,-0.05547124,-0.03702006
