time,velocity_x,velocity_y,velocity_z
1699310147788,0.000345027,0.003444015,-0.006797231
1699310147799,0.001627189,0.000768823,-0.00661092
1699310147813,0.001585806,0.0006032785,-0.006480771
1699310147833,0.001089867,0.0008243948,-0.006621765
1699310147853,0.0008891572,0.0009294588,-0.006628021
1699310147873,0.000392587,0.0006802689,-0.006770013
1699310147889,-0.000355383,0.0004060313,-0.006898026
1699310147906,-0.0008168498,-8.927071e-05,-0.007207216
1699310147922,-0.001470041,-0.0001408208,-0.007433669
1699310147939,-0.001824805,-4.930946e-06,-0.007643947
1699310147956,-0.002157843,0.0002510534,-0.007944568
1699310147971,-0.002562607,0.0006968507,-0.008141
1699310147986,-0.003023809,0.001275869,-0.008400656
1699310148003,-0.003142521,0.001744765,-0.008538108
1699310148014,-0.003320308,0.001783806,-0.008843984
1699310148029,-0.003233245,0.001717706,-0.008978385
1699310148047,-0.003258015,0.00165722,-0.009214066
1699310148060,-0.003166676,0.001837949,-0.009376572
1699310148074,-0.00292496,0.001771372,-0.009551509
1699310148088,-0.002944395,0.002117893,-0.009707626
1699310148103,-0.002955902,0.0019682,-0.009593762
1699310148116,-0.002924655,0.002104561,-0.009357618
1699310148129,-0.002999,0.002235532,-0.009227863
1699310148143,-0.002819777,0.002331714,-0.009024173
1699310148158,-0.002915899,0.001936658,-0.009273573
1699310148172,-0.002834958,0.001843018,-0.009325722
1699310148185,-0.003166579,0.00136955,-0.009610865
1699310148200,-0.003501679,0.001027142,-0.009811491
1699310148214,-0.003566186,0.0006880025,-0.009886116
1699310148228,-0.00356837,9.46998e-05,-0.01005234
1699310148243,-0.003527418,-3.50701e-05,-0.01023789
1699310148258,-0.003697535,-0.0001749042,-0.01037128
1699310148273,-0.003843977,-0.0001497734,-0.01058367
1699310148287,-0.003928832,6.190143e-05,-0.01072496
1699310148303,-0.004055079,2.185168e-05,-0.01103978
1699310148317,-0.004034342,-0.0001150562,-0.01143034
1699310148331,-0.003663129,-0.0002975301,-0.01147564
1699310148340,-0.003520551,-0.0001436348,-0.0115678
1699310148353,-0.003135584,-0.0003467624,-0.01153336
1699310148368,-0.002732842,0.0005899519,-0.0114888
1699310148382,-0.00238997,0.0006836092,-0.01137223
1699310148395,-0.002259112,0.001238516,-0.01108896
1699310148408,-0.002115579,0.001974221,-0.01055794
1699310148422,-0.001762208,0.002156649,-0.01014247
1699310148437,-0.001929779,0.002040765,-0.009725939
1699310148451,-0.002081575,0.001694483,-0.009381531
1699310148465,-0.002424426,0.001424522,-0.008904601
1699310148478,-0.00247828,0.0009327031,-0.008366049
1699310148490,-0.002865898,0.001101138,-0.007757318
1699310148504,-0.003210943,0.0009181023,-0.007209681
1699310148518,-0.003584319,0.0006847879,-0.006632231
1699310148533,-0.004228772,0.0005173077,-0.006055229
1699310148548,-0.004670741,0.0004870806,-0.005457937
1699310148561,-0.005221924,0.0001620558,-0.00487744
1699310148575,-0.005477775,-0.000346948,-0.004146329
1699310148588,-0.006064504,-0.0004655647,-0.003511097
1699310148602,-0.006461113,-0.0009409327,-0.002912328
1699310148615,-0.007074826,-0.001756703,-0.002557969
1699310148631,-0.007650128,-0.00210231,-0.002255457
1699310148644,-0.007974175,-0.002566484,-0.001951722
1699310148656,-0.008479556,-0.002227323,-0.001667412
1699310148672,-0.009053076,-0.001996689,-0.001271652
1699310148685,-0.009462769,-0.002135613,-0.0008966292
1699310148699,-0.01001169,-0.002104786,-0.0006516768
1699310148712,-0.01036704,-0.002560002,-0.0004969394
1699310148726,-0.01049984,-0.002802537,-0.0003293899
1699310148741,-0.01061249,-0.002562831,-0.0001956524
1699310148755,-0.01065005,-0.00192301,-6.977236e-06
1699310148769,-0.01063912,-0.001381337,0.0003096911
1699310148783,-0.0105246,-0.001055896,0.0004875155
1699310148796,-0.01032606,-0.0008690069,0.0008358058
1699310148810,-0.01024535,-0.0009720693,0.001147141
1699310148822,-0.009985392,-0.001086101,0.001496893
1699310148837,-0.009563373,-0.001222654,0.002072329
1699310148851,-0.009367079,-0.001442995,0.002488086
1699310148866,-0.008917269,-0.001978568,0.003116786
1699310148880,-0.008658035,-0.002077001,0.003713967
1699310148894,-0.008068598,-0.002063252,0.00444852
1699310148907,-0.007808469,-0.002172262,0.005382205
1699310148920,-0.007695924,-0.002589097,0.006295949
1699310148933,-0.007421424,-0.003237828,0.007433804
1699310148947,-0.007238299,-0.003962683,0.008373593
1699310148964,-0.006845509,-0.00470085,0.009375389
1699310148979,-0.006444726,-0.005193561,0.01006328
1699310148991,-0.00603882,-0.005654722,0.01059294
1699310149005,-0.006164613,-0.006133892,0.01085592
1699310149020,-0.006054296,-0.0066486,0.0111309
1699310149033,-0.005832142,-0.006989025,0.01147435
1699310149046,-0.005722872,-0.007124911,0.01155804
1699310149060,-0.00546477,-0.006973738,0.01166785
1699310149075,-0.005024487,-0.006723315,0.01165874
1699310149088,-0.004732526,-0.006880545,0.01137846
1699310149102,-0.004221099,-0.007259318,0.01110814
1699310149116,-0.003719987,-0.007576108,0.01095986
1699310149130,-0.003135921,-0.007267328,0.01080133
1699310149144,-0.002472902,-0.006627977,0.01063865
1699310149157,-0.001876792,-0.005364086,0.01052202
1699310149171,-0.001285313,-0.004151986,0.01024448
1699310149184,-0.0002199239,-0.003691,0.01006697
1699310149199,0.0004589364,-0.00364934,0.009633228
1699310149213,0.001489423,-0.003411102,0.009541744
1699310149227,0.002235329,-0.0029003,0.009283837
1699310149241,0.003092097,-0.002460558,0.009046321
1699310149255,0.003681747,-0.00209966,0.008737413
1699310149268,0.004286784,-0.001844095,0.008416887
1699310149281,0.005183251,-0.001488732,0.008097135
1699310149297,0.005909242,-0.001335285,0.007788854
1699310149310,0.006645787,-0.001422281,0.007491052
1699310149323,0.007256301,-0.001650978,0.007503968
1699310149337,0.007974226,-0.001762495,0.007408806
1699310149349,0.008580549,-0.001547123,0.007423261
1699310149365,0.009215723,-0.001357475,0.00740244
1699310149380,0.01004692,-0.001729301,0.007305486
1699310149393,0.0104836,-0.001935915,0.007193802
1699310149408,0.01087034,-0.002208454,0.006916122
1699310149421,0.01146983,-0.00195831,0.006795789
1699310149435,0.01197678,-0.001216101,0.006837977
1699310149448,0.01255619,-0.0004117681,0.006809703
1699310149462,0.01302809,0.0005026273,0.006894769
1699310149476,0.01315261,0.001056772,0.00684564
1699310149490,0.01342457,0.001322013,0.006960027
1699310149505,0.01377223,0.001155335,0.006890938
1699310149520,0.01398684,0.001008827,0.007029145
1699310149533,0.0143336,0.000804742,0.007177552
1699310149547,0.01463714,0.001417184,0.007469199
1699310149561,0.01488776,0.00184524,0.007658939
1699310149575,0.01536834,0.002073449,0.007906022
1699310149587,0.01573176,0.002083951,0.008111406
1699310149602,0.01617274,0.001934174,0.00816923
1699310149616,0.01665046,0.001341598,0.008224288
1699310149631,0.01706468,0.0008919752,0.008125646
1699310149644,0.01766227,0.0009029542,0.008167421
1699310149656,0.01803157,0.00107461,0.008057744
1699310149671,0.01831756,0.001162307,0.007723769
1699310149685,0.0187725,0.001144142,0.007323508
1699310149700,0.01900911,0.001124013,0.007032785
1699310149714,0.0191197,0.001079379,0.006869589
1699310149728,0.01892235,0.001173019,0.00700593
1699310149742,0.01857467,0.001109855,0.007139661
